newID,new extracter,original ID,year,all_authors,first_auth,title,doi,journal,lifestage_ne,ne_order,ne_family,ne_genus,ne_species,functional_group_ne,crop_family,crop_genus,crop_species,crop_species_VARIETY (not cultivar),crop_location_country,crop_location_state,annual_perennial,HIPV_name,HIPV_class,HIPV biopathway,deployment_method_simplified,deployment_matter,trap_type_simplified,Integrated_Approach,conventional or not,Response Variable,control_mean,control_se,control_sd,control_reps,HIPV_mean,HIPV_se,HIPV_sd,HIPV_reps,ExperimentalID
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Miridae,Deraeocoris,brevis,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,Methyl salicylate,Benzenoid,Shikimate pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1,0.5,0.866025404,3,2.2,0.6,1.039230485,3,A
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Miridae,Deraeocoris,brevis,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,(Z)-3-hexenyl acetate,GLV,Lox pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1,0.5,0.866025404,3,5.2,1.6,2.771281292,3,A
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Miridae,Deraeocoris,brevis,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1,0.5,0.866025404,3,1.7,0.6,1.039230485,3,A
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Anthocoridae,Orius,tristicolor,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,Methyl salicylate,Benzenoid,Shikimate pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.4,0.5,0.866025404,3,2.3,0.6,1.039230485,3,B
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Anthocoridae,Orius,tristicolor,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,(Z)-3-hexenyl acetate,GLV,Lox pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.4,0.5,0.866025404,3,6.9,0.4,0.692820323,3,B
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Anthocoridae,Orius,tristicolor,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.4,0.5,0.866025404,3,2,0.4,0.692820323,3,B
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Geocoridae,Geocoris,pallens,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,Methyl salicylate,Benzenoid,Shikimate pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,0.8,0.4,0.692820323,3,5.7,0.7,1.212435565,3,C
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Geocoridae,Geocoris,pallens,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,(Z)-3-hexenyl acetate,GLV,Lox pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,0.8,0.4,0.692820323,3,1.4,0.7,1.212435565,3,C
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Geocoridae,Geocoris,pallens,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,0.8,0.4,0.692820323,3,0.8,0.4,0.692820323,3,C
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Adult,Diptera,Syrphidae,unknown,unknown,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,Methyl salicylate,Benzenoid,Shikimate pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,0.5,0.2,0.346410162,3,2.2,0.3,0.519615242,3,D
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Adult,Diptera,Syrphidae,unknown,unknown,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,(Z)-3-hexenyl acetate,GLV,Lox pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,0.5,0.2,0.346410162,3,0.7,0.3,0.519615242,3,D
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Adult,Diptera,Syrphidae,unknown,unknown,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,0.5,0.2,0.346410162,3,0.4,0.2,0.346410162,3,D
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,Methyl salicylate,Benzenoid,Shikimate pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.7,0.4,0.692820323,3,2.8,0.7,1.212435565,3,E
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,(Z)-3-hexenyl acetate,GLV,Lox pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.7,0.4,0.692820323,3,2.6,0.7,1.212435565,3,E
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.7,0.4,0.692820323,3,2.8,0.6,1.039230485,3,E
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Miridae,Lygus,hesperus,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,Methyl salicylate,Benzenoid,Shikimate pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.7,0.5,0.866025404,3,1.4,0.5,0.866025404,3,F
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Miridae,Lygus,hesperus,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,(Z)-3-hexenyl acetate,GLV,Lox pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.7,0.5,0.866025404,3,1.3,0.3,0.519615242,3,F
1,Yahel,1,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,All,Hemiptera,Miridae,Lygus,hesperus,Predator,Cannabaceae,Humulus,lupulus,NA,USA,Washington,Perennial,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,Liquid,Liquid,Sticky trap,No,No,Abundance,1.7,0.5,0.866025404,3,2.5,0.8,1.385640646,3,F
