 ,,year,all_authors,first_auth,title,doi,journal,structural_diversity_plant,lifestage_ne,ne_order,ne_family,ne_genus,ne_species,functional_group_ne,crop_type,crop_family,crop_genus,crop_species,crop_phenology,crop_yield,crop_location_country,crop_location_state,annual_perennial,HIPV_name_blend,HIPV_name,HIPV_class,HIPV biopathway,deployment_method_simplified,deployment_method,trap_type,HIPV_MOA,HIPV_dose,Integrated_Approach,single_blend,no_applications,yrs_data,Category,Response Variable,control_mean,control_se,control_sd,control_reps,control individuals per replicate,control total individuals,HIPV_mean,HIPV_se,HIPV_sd,HIPV_reps,HIPV individuals per replicate,HIPV total individuals,Collector,observation ,study_id,reviewer,reviwer
1,Yahel ,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,Deraeocoris,brevis,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,1,0.5,,3,,,2.2,0.6,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,Deraeocoris,brevis,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Attractant,1 ml (98%),No,Single,14,1,,Mean of insects,1,0.5,,3,,,5.2,1.6,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,Deraeocoris,brevis,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,1,0.5,,3,,,1.7,0.6,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Anthocoridae,Orius,tristicolor,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,1.4,0.5,,3,,,2.3,0.6,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Anthocoridae,Orius,tristicolor,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Attractant,1 ml (98%),No,Single,14,1,,Mean of insects,1.4,0.5,,3,,,6.9,0.4,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Anthocoridae,Orius,tristicolor,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,1.4,0.5,,3,,,2,0.4,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Geocoridae,Geocoris,pallens,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Attractant,1 ml (99%),No,Single,14,1,,Mean of insects,0.8,0.4,,3,,,5.7,0.7,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Geocoridae,Geocoris,pallens,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,0.8,0.4,,3,,,1.4,0.7,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Geocoridae,Geocoris,pallens,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,0.8,0.4,,3,,,0.8,0.4,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Diptera,Syrphidae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Attractant,1 ml (99%),No,Single,14,1,,Mean of insects,0.5,0.2,,3,,,2.2,0.3,,3,,,,,1,Yahel,Yahel
