Study_ID,Title,DOI,Journal,Year,Study_env,Vec_order,Vec_family,Vec_genus,Vec_species,Vec_trait,Other_trait,Vec_stage,Pred_phylum,Pred_class,Pred_order,Pred_family,Pred_genus,Pred_species,Pred_starved,Time_starved_min,Pred_effect,Units,Con_mean,Con_sd,Con_n,Pred_mean,Pred_sd,Pred_n,Graph_text,Sex,Std_pred_level,Std_exp_time_days,Larval_instar,Num_pred,Num_prey,Arena_vol,Time_eating_days,Temp,Cue_type,Experimental_ID,Mixed_prey,Pesticide
40,Effects of pool depth and risk of predation on oviposition habitat selection by temporary pool dipterans,10.1603/0022-2585(2006)43[493:eopdar]2.0.co;2,Journal of Medical Entomology,2006,SEMIFIELD,Diptera,Culicidae,Culiseta,longiareolata,BEHAVIOR: oviposition,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,maculata,YES,1440,NONCONSUMPTIVE,number of egg rafts laid,4.04,2.31,6,0.02,0,6,GRAPH,NA,CUE,49,NA,CUE,NA,33600,NA,NA,PRED,B,NO,NO
40,Effects of pool depth and risk of predation on oviposition habitat selection by temporary pool dipterans,10.1603/0022-2585(2006)43[493:eopdar]2.0.co;2,Journal of Medical Entomology,2006,SEMIFIELD,Diptera,Culicidae,Culiseta,longiareolata,BEHAVIOR: oviposition,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,maculata,YES,1440,NONCONSUMPTIVE,number of egg rafts laid,8.15,8.92,6,0.26,1.14,6,GRAPH,NA,CUE,49,NA,CUE,NA,10800,NA,NA,PRED,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,Percent survival,95.23,6.62,5,85.4,5.83,5,GRAPH,NA,CUE,NA,BOTH,CUE,8,20,NA,20,PREDDC,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,Percent survival,75.17,9.09,5,50.28,14.81,5,GRAPH,NA,CUE,NA,BOTH,CUE,8,20,NA,20,PREDDC,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",23.72,1.06,5,23.32,0.84,5,GRAPH,MALE,CUE,NA,BOTH,CUE,8,20,NA,20,PREDDC,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",25.31,1.1,5,27.67,2.24,5,GRAPH,MALE,CUE,NA,BOTH,CUE,8,20,NA,20,PREDDC,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",27.28,0.97,5,29.4,1.01,5,GRAPH,FEMALE,CUE,NA,BOTH,CUE,8,20,NA,20,PREDDC,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",35.54,0.88,5,46,2.77,5,GRAPH,FEMALE,CUE,NA,BOTH,CUE,8,20,NA,20,PREDDC,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.18,0.17,5,3.07,0.08,5,GRAPH,MALE,CUE,NA,NA,CUE,8,20,NA,20,PREDDC,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.04,0.07,5,2.93,0.06,5,GRAPH,MALE,CUE,NA,NA,CUE,8,20,NA,20,PREDDC,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.84,0.1,5,3.65,0.18,5,GRAPH,FEMALE,CUE,NA,NA,CUE,8,20,NA,20,PREDDC,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.58,0.1,5,3.34,0.05,5,GRAPH,FEMALE,CUE,NA,NA,CUE,8,20,NA,20,PREDDC,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,Percent survival (both sexes),95.23,6.62,5,95.28,6.51,5,GRAPH,NA,CUE,NA,BOTH,CUE,8,20,NA,20,PRED,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,Percent survival (both sexes),75.17,9.09,5,75.37,12.68,5,GRAPH,NA,CUE,NA,BOTH,CUE,8,20,NA,20,PRED,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",27.28,0.97,5,27.59,1.1,5,GRAPH,FEMALE,CUE,NA,BOTH,CUE,8,20,NA,20,PRED,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",35.54,0.88,5,41.24,1.45,5,GRAPH,FEMALE,CUE,NA,BOTH,CUE,8,20,NA,20,PRED,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",23.72,1.06,5,23.8,1.19,5,GRAPH,MALE,CUE,NA,BOTH,CUE,8,20,NA,20,PRED,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,DEVELOPMENT,NA,LARVA,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"days to adult emergence, group means",25.31,1.1,5,29.17,1.23,5,GRAPH,MALE,CUE,NA,BOTH,CUE,8,20,NA,20,PRED,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.84,0.1,5,3.82,0.07,5,GRAPH,FEMALE,CUE,NA,NA,CUE,8,20,NA,20,PRED,A,NO,NO
